,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,234400.0,45000,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,1245250.0,40,Diesel
2,Hyundai Grand i10,Hyundai,2014,952250.0,28000,Petrol
3,Ford EcoSport Titanium,Ford,2014,1684750.0,36000,Diesel
4,Ford Figo,Ford,2012,512750.0,41000,Diesel
5,Hyundai Eon,Hyundai,2013,556700.0,25000,Petrol
6,Ford EcoSport Ambiente,Ford,2016,2431900.0,24530,Diesel
7,Maruti Suzuki Alto,Maruti,2015,732500.0,60000,Petrol
8,Skoda Fabia Classic,Skoda,2010,533260.0,60000,Petrol
9,Maruti Suzuki Stingray,Maruti,2015,922950.0,30000,Petrol
10,Hyundai Elite i20,Hyundai,2014,1215950.0,32000,Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,937600.0,48660,Diesel
12,Hyundai Santro Xing,Hyundai,2007,234400.0,45000,Petrol
13,Mahindra Jeep CL550,Mahindra,2006,1245250.0,40,Diesel
14,Audi A8,Audi,2017,2930000.0,4000,Petrol
15,Audi Q7,Audi,2014,1465000.0,16934,Diesel
16,Mahindra Scorpio S10,Mahindra,2016,1025500.0,43000,Diesel
17,Maruti Suzuki Alto,Maruti,2014,468800.0,35550,Petrol
18,Mahindra Scorpio S10,Mahindra,2016,1025500.0,43000,Diesel
19,Mahindra Scorpio S10,Mahindra,2016,908300.0,39522,Diesel
20,Maruti Suzuki Alto,Maruti,2015,219750.0,39000,Petrol
21,Hyundai i20 Sportz,Hyundai,2012,293000.0,55000,Petrol
22,Hyundai i20 Sportz,Hyundai,2012,293000.0,55000,Petrol
23,Hyundai i20 Sportz,Hyundai,2012,293000.0,55000,Petrol
24,Maruti Suzuki Alto,Maruti,2017,556700.0,72000,Petrol
25,Maruti Suzuki Vitara,Maruti,2016,849700.0,15975,Diesel
26,Maruti Suzuki Alto,Maruti,2008,278350.0,70000,Petrol
27,Mahindra Bolero DI,Mahindra,2017,527400.0,23452,Diesel
28,Maruti Suzuki Swift,Maruti,2014,1128050.0,35522,Diesel
29,Mahindra Scorpio S10,Mahindra,2015,732500.0,48508,Diesel
30,Maruti Suzuki Swift,Maruti,2017,527400.0,15487,Petrol
31,Maruti Suzuki Wagon,Maruti,2013,307650.0,39000,Petrol
32,Maruti Suzuki Wagon,Maruti,2013,307650.0,39000,Petrol
33,Toyota Innova 2.0,Toyota,2012,1904500.0,82000,Diesel
34,Renault Lodgy 85,Renault,2018,2021697.07,20000,Diesel
35,Skoda Yeti Ambition,Skoda,2012,1312640.0,68000,Diesel
36,Maruti Suzuki Baleno,Maruti,2017,1608570.0,32000,Diesel
37,Renault Duster 110,Renault,2012,1467930.0,38000,Diesel
38,Renault Duster 85,Renault,2013,1435697.07,27000,Diesel
39,Honda City 1.5,Honda,2011,820400.0,33000,Petrol
40,Maruti Suzuki Alto,Maruti,2015,732500.0,60000,Petrol
41,Maruti Suzuki Dzire,Maruti,2013,1025497.0700000001,46000,Diesel
42,Honda Amaze,Honda,2013,835047.0700000001,46000,Diesel
43,Honda Amaze 1.5,Honda,2015,1010850.0,36000,Diesel
44,Honda City,Honda,2015,1464997.07,55000,Petrol
45,Datsun Redi GO,Datsun,2017,688550.0,16000,Petrol
46,Maruti Suzuki SX4,Maruti,2010,732497.0700000001,36000,Petrol
47,Mitsubishi Pajero Sport,Mitsubishi,2015,4321750.0,47000,Diesel
48,Mahindra Bolero DI,Mahindra,2017,527400.0,23452,Diesel
49,Maruti Suzuki Swift,Maruti,2014,1128050.0,35522,Diesel
50,Mahindra Scorpio S10,Mahindra,2015,732500.0,48508,Diesel
51,Maruti Suzuki Swift,Maruti,2017,527400.0,15487,Petrol
52,Maruti Suzuki Wagon,Maruti,2013,307650.0,39000,Petrol
53,Maruti Suzuki Wagon,Maruti,2013,307650.0,39000,Petrol
54,Mahindra Scorpio S10,Mahindra,2015,1157350.0,35000,Diesel
55,Maruti Suzuki Swift,Maruti,2017,644600.0,30874,Petrol
56,Honda City ZX,Honda,2017,498100.0,15000,Diesel
57,Maruti Suzuki Wagon,Maruti,2013,249050.0,29685,Petrol
58,Ford Figo,Ford,2012,512750.0,41000,Diesel
59,Hyundai Eon,Hyundai,2013,556700.0,25000,Petrol
60,Tata Indigo eCS,Tata,2017,586000.0,130000,Diesel
61,Ford EcoSport Ambiente,Ford,2016,2431900.0,24530,Diesel
62,Tata Indigo eCS,Tata,2017,586000.0,130000,Diesel
63,Mahindra Scorpio SLE,Mahindra,2012,1670100.0,19000,Diesel
